"State","Response","Coverage","Education","EmploymentStatus","Gender","Location_Code","Marital_Status","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Vehicle_Class","Vehicle_Size","Customer_Lifetime_Value","Income","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Total_Claim_Amount"
2,0,1,3,5,1,2,3,3,9,1,1,1,1,-0.590683673875973,-1.23954898274596,0.516761401367957,-0.00962947963001139,-0.0381492932287678,-0.422226443611693,-0.822602843243485,1.25683679967495
5,0,2,2,1,1,1,2,2,4,1,2,5,2,-0.386848556199597,-0.893563697667381,1.33052641391442,1.77728023247997,0.571038896197048,-0.422226443611693,-0.822602843243485,0.282785303705789
1,0,1,4,2,1,2,3,3,9,1,3,1,3,0.712799120033123,1.61049287085921,0.516761401367957,1.77728023247997,0.212692902417156,1.774649851432,-0.404224627853653,0.339797502556401
4,0,2,2,2,1,2,2,3,9,2,2,1,1,-0.694164239864265,1.25190056797213,-0.384192719665622,0.188916043937764,-0.145653091362735,0.676211703910153,-0.822602843243485,-0.172422645383687
1,0,3,4,2,2,2,2,3,8,4,3,1,1,-0.807798442862161,-0.477268778022358,-0.878264334425972,-1.10162985925278,-1.50736786772632,0.676211703910153,-0.822602843243485,-0.384835511131838
3,0,2,5,2,2,1,2,2,5,2,1,3,2,1.59664784646486,0.932906809272054,4.17870395782702,-1.39944814460444,-1.22069107270241,-0.422226443611693,1.26928823370567,0.625951522281599
2,0,3,3,5,2,1,2,3,9,1,3,1,2,-0.478770868747223,-1.23954898274596,-0.820138262101225,0.387461567505539,0.284362101173134,-0.422226443611693,0.0141535875361788,-0.433521048242048
5,0,3,3,2,2,2,2,2,5,1,1,6,1,-0.434590207986898,0.554400026556934,-0.878264334425972,1.28091642356053,-1.11318727456844,-0.422226443611693,1.26928823370567,-0.453317565221801
4,0,3,3,2,1,3,2,2,4,3,4,1,2,-0.447102112117466,-0.0130803573032854,-0.907327370588345,0.387461567505539,-0.217322290118714,-0.422226443611693,2.10604466448534,-1.44113934943827
1,0,3,5,2,1,1,2,3,7,1,2,1,2,-0.329023633765563,1.03126129807567,-0.645760045126984,-0.406720526765562,-0.288991488874692,-0.422226443611693,1.26928823370567,-0.790408174702119
2,0,1,3,2,2,2,2,3,9,1,1,1,1,0.856763636587807,0.152983362915671,0.691139618342198,-0.50599328854945,0.499369697441069,-0.422226443611693,-0.404224627853653,0.438936886028676
4,0,2,2,2,1,2,2,3,9,2,4,1,1,-0.0908116285147632,0.923262276066077,-0.0644993218795133,0.387461567505539,1.35940008251281,-0.422226443611693,2.10604466448534,0.00933289098215037
4,0,2,3,5,2,2,3,3,8,3,1,6,1,-0.71531502564635,-1.23954898274596,-0.0935623580418869,-0.803811573901113,1.10855788686688,-0.422226443611693,-0.822602843243485,0.736355036445501
1,0,3,5,2,2,3,1,3,9,1,3,1,2,-0.798040056733481,0.513023991608425,-0.791075225938851,-1.10162985925278,-1.18485647332442,1.774649851432,-0.822602843243485,-0.952464226759778
3,0,3,5,5,1,2,2,2,6,3,3,6,2,-0.779057477068666,-1.23954898274596,-0.674823081289357,-0.803811573901113,-1.68654086461627,0.676211703910153,-0.822602843243485,0.172907834126078
4,1,3,4,2,1,3,3,2,6,2,1,6,2,-0.761740666281305,0.408612867617438,-0.645760045126984,-1.20090262103666,-0.575668283898605,-0.422226443611693,-0.822602843243485,-1.42915569057472
2,1,2,3,2,1,2,2,3,8,2,1,1,1,-0.591755679366297,0.736131998673655,0.168004967419475,-0.307447764981674,-0.719006681410561,-0.422226443611693,-0.822602843243485,1.54486405805085
1,0,3,5,2,2,2,2,3,8,4,1,4,2,0.615188346961762,0.183891952268614,0.284257112068969,-0.00962947963001139,-1.14902187394643,-0.422226443611693,-0.404224627853653,0.207611657926701
5,0,3,4,2,2,2,2,1,2,2,3,1,3,-0.809387502019814,1.81622096825633,-0.936390406750719,-0.00962947963001139,0.284362101173134,-0.422226443611693,-0.822602843243485,-0.486364026379225
4,0,1,1,1,1,3,2,3,8,1,2,5,2,0.700652759468347,-0.906927794874298,2.28960660727274,-1.00235709746889,-1.5790370664823,2.87308799895384,0.0141535875361788,-1.49249880997198
1,0,3,3,5,2,2,3,3,9,3,3,1,2,-0.514691690393917,-1.23954898274596,-0.587633972802237,-0.803811573901113,0.320196700551124,2.87308799895384,0.850910018315843,0.49940486691973
4,0,3,5,2,1,2,3,3,8,4,1,6,2,-0.362481181538078,-0.475293788287346,-0.645760045126984,-0.803811573901113,-1.36402947021437,-0.422226443611693,0.432531802926011,0.0471760459765755
2,0,2,3,5,1,2,2,2,5,2,3,1,2,-0.678370997313097,-1.23954898274596,-0.0354362857171398,-0.406720526765562,1.03688868811091,-0.422226443611693,-0.822602843243485,0.328864920813355
1,0,3,5,5,1,2,2,3,8,4,2,1,2,-0.831100053657891,-1.23954898274596,-0.907327370588345,-0.406720526765562,0.284362101173134,-0.422226443611693,-0.822602843243485,-0.416748988137839
4,0,3,4,2,2,2,2,3,8,1,1,5,1,4.17735718621392,-0.423088226291852,0.313320148231342,-1.39944814460444,-0.719006681410561,-0.422226443611693,-0.404224627853653,0.549884486079158
2,1,3,3,2,1,2,1,2,4,1,4,5,2,3.70666992434028,-0.147050494328291,0.371446220556089,0.288188805721652,1.68191147691471,-0.422226443611693,-0.404224627853653,0.257181349662838
3,0,3,5,2,1,3,2,1,1,4,2,1,2,-0.00313038384301508,-0.0540943108003756,-0.703886117451731,-1.10162985925278,-0.288991488874692,2.87308799895384,-0.404224627853653,-0.895465198300873
5,0,3,3,2,2,2,3,3,9,4,1,1,2,-0.458479065620336,-0.257518253506649,-0.849201298263598,0.387461567505539,-0.145653091362735,-0.422226443611693,0.0141535875361788,-0.436794334643088
2,0,1,3,1,2,2,2,3,8,1,2,1,1,-0.540090328976894,-0.689810590005272,0.574887473692704,0.486734329289427,-0.79067588016654,-0.422226443611693,-0.822602843243485,1.36845803462442
1,0,2,4,2,1,2,1,2,6,3,3,1,1,-0.122332832855267,0.295116790845394,-0.0644993218795133,-1.39944814460444,0.176858303039167,-0.422226443611693,0.0141535875361788,0.00933289098215037
2,0,3,4,2,2,1,2,1,2,2,2,1,2,-0.0560946720980465,0.89176118979263,-0.849201298263598,0.883825376424978,0.391865899307102,-0.422226443611693,-0.404224627853653,-0.452748925126114
1,0,3,5,5,1,2,2,3,8,1,3,5,1,-0.588990937326632,-1.23954898274596,0.226131039744222,1.38018918534442,-1.29236027145839,-0.422226443611693,-0.822602843243485,0.174565196769276
4,0,2,5,1,1,2,1,3,9,1,3,5,2,-0.510182469602028,-0.680988969188884,0.894580871478813,1.87655299426385,-0.0381492932287678,1.774649851432,-0.822602843243485,0.931770158856115
4,0,1,2,1,1,2,1,3,7,1,1,1,2,-0.574209236001702,-0.857026387569653,0.429572292880836,-1.10162985925278,1.78941527504868,-0.422226443611693,-0.822602843243485,0.290227810820263
1,1,3,3,4,2,2,1,3,7,1,1,1,2,-0.516204894005495,-0.659494497572833,-0.820138262101225,-1.39944814460444,-0.432329886386648,0.676211703910153,0.0141535875361788,-0.420271104064375
2,0,1,3,3,1,2,2,3,9,1,3,6,1,0.015338838722618,-0.86137136498668,0.342383184393716,-1.10162985925278,0.0693545049051996,-0.422226443611693,1.26928823370567,0.240658119084126
4,0,2,3,5,2,2,3,3,9,1,1,6,1,-0.678969232268389,-1.23954898274596,0.0226897866076072,0.486734329289427,0.176858303039167,-0.422226443611693,-0.822602843243485,1.47758483318491
2,0,3,5,2,1,3,2,3,9,1,1,5,2,2.36590800911958,0.950220885948996,0.197068003581848,-1.49872090638833,1.35940008251281,-0.422226443611693,-0.404224627853653,-1.13513712600267
1,0,3,3,5,1,2,3,3,9,3,2,1,3,-0.202441184600447,-1.23954898274596,-0.878264334425972,0.586007091073315,-0.719006681410561,-0.422226443611693,-0.404224627853653,0.834088162186619
5,0,3,4,2,2,2,2,3,9,3,4,1,2,-0.73850543638358,-0.131480991917277,-0.587633972802237,1.38018918534442,0.821881091842972,-0.422226443611693,-0.822602843243485,-0.288085259434675
4,0,3,4,2,1,2,1,2,6,1,1,5,2,0.097112056852278,-0.497380756823901,0.54582443753033,-0.803811573901113,0.427700498685091,-0.422226443611693,0.0141535875361788,0.356320733135113
1,0,2,5,2,1,1,2,3,9,4,2,6,1,0.528852556457017,0.784354664703541,0.109878895094728,-1.00235709746889,0.606873495575037,-0.422226443611693,-0.404224627853653,0.107297211142462
4,1,2,3,5,1,2,1,3,9,1,3,6,3,-0.168650213192343,-1.23954898274596,0.0517528227699807,-0.208175003197787,-1.00568347643447,-0.422226443611693,0.850910018315843,0.0754258132970004
2,0,1,4,1,1,2,2,3,9,3,4,1,2,0.541821213141065,-0.25603701120539,0.255194075906595,0.188916043937764,-1.72237546399426,-0.422226443611693,-0.404224627853653,0.227763923503153
4,0,3,5,2,2,3,1,3,9,4,1,5,2,2.13054334402743,1.82204718797462,0.574887473692704,0.188916043937764,-1.29236027145839,-0.422226443611693,-0.404224627853653,-0.525430995100501
4,0,3,2,2,2,3,2,3,8,2,4,6,3,-0.784527955484877,0.906145698362636,-0.820138262101225,1.38018918534442,-0.754841280788551,-0.422226443611693,-0.822602843243485,-1.47557367934815
4,0,3,2,3,2,2,2,3,7,1,1,1,2,-0.808210443785664,-0.356070241283766,-0.849201298263598,-1.39944814460444,-0.0381492932287678,1.774649851432,-0.822602843243485,-0.436794334643088
4,0,3,3,5,2,2,3,3,9,1,1,4,2,-0.178092859948688,-1.23954898274596,0.313320148231342,1.4794619471283,-1.61487166586029,0.676211703910153,0.850910018315843,1.88747210124368
4,1,3,3,2,2,2,1,3,9,2,2,6,2,-0.441006144797076,1.25038640917529,-0.820138262101225,-1.00235709746889,0.714377293709004,2.87308799895384,2.52442287987517,0.116057945034845
4,0,3,3,2,2,2,2,3,9,2,2,1,1,0.0853830917932692,0.0436676810827365,-0.587633972802237,1.18164366177664,-0.36066068763067,-0.422226443611693,-0.404224627853653,-0.288085259434675
4,0,3,5,2,1,3,3,3,7,2,3,1,2,-0.351155648012733,1.12421748160359,-0.645760045126984,0.188916043937764,-0.0023146938507787,-0.422226443611693,1.26928823370567,-1.39433564994335
3,0,3,4,2,2,2,2,3,7,2,1,1,2,0.000659638972450734,-0.549586318819394,-0.762012189776478,0.486734329289427,-0.539833684520616,-0.422226443611693,-0.404224627853653,-0.38722464290695
5,0,2,4,2,2,3,2,3,9,1,1,1,2,0.482195453953711,0.0416597748521406,0.168004967419475,-0.903084335685,1.25189628437884,1.774649851432,-0.404224627853653,-1.0959030695545
2,0,3,3,2,2,3,3,3,9,2,2,2,1,7.30051659303458,0.778923442932257,2.69648911354597,-1.49872090638833,-0.647337482654583,0.676211703910153,-0.404224627853653,-0.0222291988715566
2,0,2,4,5,1,3,3,3,9,3,2,6,3,0.00295284218604697,-1.23954898274596,-0.471381828152743,0.486734329289427,-0.79067588016654,-0.422226443611693,-0.404224627853653,-1.40544227293949
2,1,3,5,2,2,2,3,3,9,2,3,1,2,-0.323791117175575,0.44136478072306,-0.558570936639863,0.78455261464109,-1.72237546399426,-0.422226443611693,2.10604466448534,1.21825957606568
2,0,3,1,2,2,2,2,3,7,3,2,5,2,-0.565626500299634,-0.107945697575046,0.255194075906595,-0.307447764981674,0.212692902417156,-0.422226443611693,-0.822602843243485,0.191088427347988
3,0,3,2,2,2,2,2,3,9,2,3,1,3,-0.79783090787965,0.178230315028246,-0.878264334425972,1.97582575604774,-1.18485647332442,-0.422226443611693,-0.822602843243485,-0.453317565221801
4,0,2,4,1,1,2,3,3,9,2,1,1,1,-0.211138250342297,-0.409329131137933,-0.0935623580418869,1.28091642356053,0.750211893086993,-0.422226443611693,0.0141535875361788,0.142975709333865
5,0,3,5,2,2,2,2,3,8,1,3,1,2,-0.0438865671001452,-0.0293740226171375,-0.791075225938851,-0.00962947963001139,-0.575668283898605,0.676211703910153,-0.404224627853653,-0.389809592176119
2,1,2,4,4,2,2,2,3,7,1,1,1,2,-0.302462653652947,-0.479474183226455,0.0808158589323542,1.28091642356053,1.50273848002477,5.06996429399754,0.850910018315843,0.091949043875713
2,0,3,3,2,1,1,2,2,5,3,4,1,2,-0.774486229787308,0.3492973425759,-0.703886117451731,-1.20090262103666,1.10855788686688,2.87308799895384,-0.822602843243485,-0.523020789321721
4,0,3,3,2,1,2,1,3,8,3,2,1,2,-0.772781703923184,-0.162521247252554,-0.762012189776478,-0.208175003197787,-1.29236027145839,-0.422226443611693,-0.822602843243485,-0.38722464290695
2,1,2,4,2,2,2,2,3,9,1,2,1,2,-0.284954816641215,-0.568184138824094,-0.500444864315116,-0.00962947963001139,0.427700498685091,0.676211703910153,0.432531802926011,-0.238515567698538
4,0,1,4,3,2,2,2,3,9,2,2,6,1,0.75186969863307,-0.531416413257281,0.749265690666945,0.586007091073315,1.18022708562286,0.676211703910153,-0.404224627853653,0.845916420066582
5,1,2,3,2,1,2,2,2,6,2,3,6,2,0.385963320768308,1.14821360688399,-0.151688430366634,-0.803811573901113,-1.61487166586029,-0.422226443611693,-0.404224627853653,0.680393054130473
4,0,3,3,2,1,3,2,2,6,1,1,1,2,-0.79716380445823,1.41826053665134,-0.878264334425972,0.883825376424978,1.28773088375683,-0.422226443611693,-0.822602843243485,-1.45338941097151
4,0,3,3,2,2,2,2,2,4,1,2,6,1,-0.776141734753765,0.499166146967755,-0.762012189776478,0.78455261464109,1.43106928126879,-0.422226443611693,-0.822602843243485,-0.287641084015662
2,0,2,5,5,1,2,3,3,8,1,1,1,2,-0.391741977754824,-1.23954898274596,-0.471381828152743,-0.704538812117225,-1.36402947021437,0.676211703910153,2.52442287987517,1.4778167642648
4,0,3,3,2,1,2,2,3,9,1,2,1,3,1.88346864265128,1.05598158625891,-0.558570936639863,-1.30017538282055,-0.79067588016654,0.676211703910153,-0.404224627853653,0.199789051104462
1,0,3,2,3,1,3,2,3,9,1,2,5,2,0.053909940364498,-0.654293691270633,0.45863532904321,-0.307447764981674,-1.07735267519045,-0.422226443611693,2.52442287987517,-1.03786716362637
2,0,3,3,3,2,2,2,3,8,1,1,1,2,-0.466204929869126,-0.643529997214816,-0.907327370588345,1.38018918534442,-1.32819487083638,-0.422226443611693,2.10604466448534,-0.469840795800513
1,0,3,3,2,1,1,2,3,7,3,4,1,2,-0.328774237305316,0.661049472247602,-0.558570936639863,1.4794619471283,1.3952346818908,2.87308799895384,2.52442287987517,-0.565175949838159
4,0,2,4,2,2,2,2,3,8,1,1,6,1,-0.282176342037903,-0.165582481341824,-0.500444864315116,-0.406720526765562,0.427700498685091,-0.422226443611693,1.68766644909551,-0.186065680659167
2,1,3,4,5,1,2,2,3,9,1,1,5,2,-0.000383081705097783,-1.23954898274596,0.400509256718463,-1.20090262103666,0.606873495575037,-0.422226443611693,0.0141535875361788,0.273704580241551
2,1,3,4,5,2,2,3,3,7,1,2,1,2,-0.816628082944616,-1.23954898274596,-0.674823081289357,0.883825376424978,-1.36402947021437,-0.422226443611693,-0.822602843243485,-0.0303699949219856
4,0,3,3,2,2,3,3,2,6,3,3,6,2,-0.471858224312365,0.926191844173012,-0.907327370588345,-1.30017538282055,1.32356548313482,0.676211703910153,0.0141535875361788,-1.32556823966129
2,1,1,4,2,2,2,2,3,9,2,2,1,2,-0.534794320747174,0.751076087668582,0.400509256718463,-0.605266050333337,-1.07735267519045,-0.422226443611693,-0.822602843243485,0.273704580241551
2,0,2,5,5,1,2,3,3,9,1,4,5,2,0.203434126557784,-1.23954898274596,1.06895908845305,1.28091642356053,1.43106928126879,-0.422226443611693,0.432531802926011,1.72774887116825
4,0,2,3,2,1,3,2,3,9,1,3,1,1,-0.151106220719815,0.137578442982574,-0.151688430366634,1.38018918534442,1.61024227815873,-0.422226443611693,2.52442287987517,-1.00525278494858
2,0,3,3,2,1,3,2,3,7,3,2,1,2,-0.0452448912157542,-0.17624742591089,-0.820138262101225,-0.208175003197787,-0.503999085142627,-0.422226443611693,-0.404224627853653,-1.33885077591128
4,0,3,5,5,2,2,2,3,7,1,1,5,2,0.10371474799942,-1.23954898274596,0.691139618342198,-1.00235709746889,1.46690388064678,0.676211703910153,0.0141535875361788,0.438936886028676
2,0,3,3,2,1,3,2,3,9,1,1,6,2,-0.302168786891365,0.094589499750472,-0.558570936639863,0.188916043937764,-0.575668283898605,-0.422226443611693,2.52442287987517,-1.38905786503635
4,0,3,4,2,2,1,2,2,4,4,1,1,2,-0.808032216631964,1.39041318138767,-0.907327370588345,-1.00235709746889,1.35940008251281,0.676211703910153,-0.822602843243485,-0.559318223634226
2,0,2,4,2,2,2,2,3,9,4,1,1,1,-0.189692179075598,0.616875535174492,-0.238877538853754,-1.10162985925278,-1.07735267519045,-0.422226443611693,1.68766644909551,-0.0898064924901248
5,0,2,5,2,2,2,1,2,5,2,4,1,1,-0.065303776784123,-0.0790120979571149,0.138941931257101,0.0896432821538763,-1.65070626523828,0.676211703910153,2.10604466448534,0.124995505033138
1,0,3,4,2,2,2,2,3,9,2,2,5,2,0.0709883022035607,-0.324338739541234,0.45863532904321,0.387461567505539,0.212692902417156,-0.422226443611693,1.68766644909551,1.20726710793881
4,0,3,3,2,2,2,3,3,9,1,1,1,2,-0.0424170867335489,0.258349065278581,-0.791075225938851,0.0896432821538763,-0.575668283898605,1.774649851432,-0.404224627853653,-0.403747873485663
5,0,3,5,2,2,2,2,3,8,4,2,1,2,2.34022275195357,0.906474863318472,-0.762012189776478,-1.49872090638833,0.212692902417156,-0.422226443611693,-0.404224627853653,-0.130832173156957
2,0,3,5,5,2,2,2,2,5,1,1,5,2,-0.104042217448036,-1.23954898274596,0.255194075906595,-0.406720526765562,0.786046492464982,0.676211703910153,0.0141535875361788,0.191088427347988
4,1,2,5,4,2,2,1,3,9,2,1,5,2,-0.470384494762587,-0.548532990960721,1.15614819694017,1.97582575604774,1.50273848002477,-0.422226443611693,-0.822602843243485,0.703308575288076
1,0,2,5,2,2,2,2,3,9,2,2,6,2,-0.174422169961833,0.00597829363958389,-0.209814502691381,1.97582575604774,1.03688868811091,-0.422226443611693,2.52442287987517,0.108589155656732
2,0,3,3,2,1,2,3,3,8,3,1,6,2,-0.805586557307423,1.81217223929956,-0.907327370588345,0.883825376424978,-1.36402947021437,-0.422226443611693,-0.822602843243485,-0.226122642182906
2,0,2,4,2,1,1,2,2,5,2,3,1,2,-0.713293631020197,1.21816115999901,-0.442318791990369,-0.50599328854945,1.50273848002477,1.774649851432,-0.822602843243485,-0.678783927705401
5,0,2,4,5,2,2,2,3,8,3,4,6,2,-0.731056408107308,-1.23954898274596,-0.297003611178501,1.08237089999275,1.46690388064678,-0.422226443611693,-0.822602843243485,0.511498264130705
2,0,3,3,2,2,3,2,3,9,1,3,4,2,0.130665311086747,0.302029254917937,0.54582443753033,-0.903084335685,-1.61487166586029,-0.422226443611693,2.52442287987517,-1.27359385333224
4,0,3,5,2,1,2,2,3,9,3,2,6,1,-0.364649259725767,1.68238249721366,-0.732949153614104,0.188916043937764,1.03688868811091,-0.422226443611693,1.68766644909551,-0.370701412328238
2,0,3,5,2,2,2,3,3,9,3,4,3,2,1.02149486143354,-0.309262984563973,2.87086733052021,-0.605266050333337,1.03688868811091,-0.422226443611693,0.0141535875361788,1.67817917943212
3,0,3,3,2,1,3,2,3,9,1,1,1,2,-0.799862976111643,-0.135035973440299,-0.878264334425972,0.188916043937764,-1.32819487083638,-0.422226443611693,-0.822602843243485,-1.14351889615939
4,0,1,4,2,2,2,1,3,8,1,3,1,2,3.37897206745307,0.168618698317852,0.574887473692704,-0.50599328854945,-0.754841280788551,0.676211703910153,-0.404224627853653,0.372843963713826
4,0,2,2,2,1,3,3,3,9,2,2,1,2,-0.708988503607863,0.697586782345331,-0.442318791990369,0.486734329289427,-0.79067588016654,-0.422226443611693,-0.822602843243485,-0.999452353046675
1,0,2,4,2,2,1,2,1,2,1,2,1,2,-0.606535913066785,-0.519336059378122,0.109878895094728,1.38018918534442,-0.396495287008659,-0.422226443611693,-0.822602843243485,-0.0344634497385367
4,1,3,4,4,2,2,1,3,8,2,4,1,2,0.550949431111954,-0.40837455276601,-0.791075225938851,-0.208175003197787,-0.181487690740724,-0.422226443611693,-0.404224627853653,-0.403747873485663
5,0,3,2,5,1,3,2,3,7,2,1,1,2,-0.0242865580946881,-1.23954898274596,-0.703886117451731,-0.605266050333337,-1.29236027145839,-0.422226443611693,-0.404224627853653,-1.48496978997606
1,0,3,5,2,2,2,2,3,9,1,1,4,2,-0.538371353328452,-0.443364787571313,0.45863532904321,-0.108902241413899,1.21606168500085,-0.422226443611693,-0.822602843243485,0.306751041398976
3,0,3,3,2,1,3,2,1,2,1,2,1,2,-0.29558625316715,0.130139314980695,-0.558570936639863,-0.108902241413899,-1.43569866897034,-0.422226443611693,2.10604466448534,-1.10253768019451
4,0,3,3,2,1,1,2,3,9,1,3,1,2,-0.339762637819411,-0.304523009199943,-0.61669700896461,0.0896432821538763,-0.468164485764638,0.676211703910153,0.432531802926011,-0.830337342806691
1,0,1,4,2,2,2,2,3,9,1,1,1,1,-0.476379938832196,1.05910865333934,0.720202654504572,1.67800747069608,1.82524987442667,-0.422226443611693,-0.822602843243485,1.35825748707345
1,0,3,5,5,1,2,3,2,5,1,4,1,1,0.00312025426911396,-1.23954898274596,-0.558570936639863,-0.00962947963001139,1.53857307940275,-0.422226443611693,-0.404224627853653,0.339797502556401
1,0,3,5,5,2,2,3,3,9,1,1,5,2,-0.579536562091186,-1.23954898274596,0.691139618342198,-0.903084335685,-1.68654086461627,-0.422226443611693,-0.822602843243485,1.8623687873179
4,0,3,5,2,1,3,2,1,2,1,2,4,2,0.234809779637242,1.41141390556997,0.749265690666945,-1.00235709746889,1.25189628437884,-0.422226443611693,0.0141535875361788,-1.30908766311385
5,0,3,4,5,1,2,3,3,8,2,1,1,1,-0.833967695760589,-1.23954898274596,-0.878264334425972,-1.30017538282055,-1.54320246710431,-0.422226443611693,-0.822602843243485,0.593988306909216
4,0,2,4,2,1,1,2,3,9,4,2,1,2,0.225293806527359,1.97744596362451,-0.413255755827996,-1.49872090638833,0.786046492464982,-0.422226443611693,-0.404224627853653,-0.496304814976143
1,0,2,3,2,1,1,3,1,3,3,2,1,1,0.346910783295472,0.775664709869486,-0.12262539420426,0.486734329289427,0.248527501795145,-0.422226443611693,-0.404224627853653,-0.142803477463315
